State,District,Scheme,Year,Target Beneficiaries,Actual Beneficiaries,Funds Allocated Lakh,Funds Utilized Lakh,Employment Generated,Completion Rate
Telangana,Hyderabad,PM Awas Yojana (Gramin),2021,6010,5209,8255.9,7452.5,1221,86.67
Uttar Pradesh,Kanpur Nagar,Swachh Bharat Mission (Gramin),2020,11280,8926,1710.1,1372.3,847,79.13
Madhya Pradesh,Bhopal,PM Kisan Samman Nidhi,2022,19150,12306,602.3,346.9,88,64.26
Rajasthan,Ajmer,Jal Jeevan Mission,2019,15960,9635,4602.0,2457.2,1872,60.37
Jharkhand,Jamshedpur (East Singhbhum),Deendayal Antyodaya Yojana,2020,6970,5815,2009.0,1772.7,3004,83.43
Tamil Nadu,Madurai,Skill India Mission (PMKVY),2021,2330,1491,360.5,245.7,1063,63.99
Bihar,Darbhanga,Swachh Bharat Mission (Gramin),2020,10570,10311,1522.1,1473.2,1385,97.55
Punjab,Ludhiana,Swachh Bharat Mission (Gramin),2019,8170,4726,1399.6,800.9,337,57.85
Karnataka,Hubballi-Dharwad,Skill India Mission (PMKVY),2020,3170,2759,602.5,534.7,1943,87.03
Rajasthan,Jodhpur,PM Kisan Samman Nidhi,2023,24170,13783,523.2,299.2,116,57.03
Maharashtra,Aurangabad,PM Ujjwala Yojana,2023,10170,9840,567.7,504.7,201,96.76
Gujarat,Vadodara,National Rural Livelihood Mission,2019,3900,2906,836.4,651.5,1599,74.51
Bihar,Darbhanga,MGNREGA,2021,21640,13324,2237.1,1355.3,12153,61.57
Uttar Pradesh,Gorakhpur,Skill India Mission (PMKVY),2019,1920,1920,438.0,431.0,1550,100.0
Maharashtra,Pune,Skill India Mission (PMKVY),2019,5360,3244,974.4,581.4,2613,60.52
Tamil Nadu,Coimbatore,Ayushman Bharat - PMJAY,2020,28360,27734,3176.0,3032.6,67,97.79
West Bengal,Kolkata,National Rural Livelihood Mission,2019,6320,5075,637.5,519.6,2133,80.3
Uttar Pradesh,Gorakhpur,MGNREGA,2023,12800,9712,1123.2,868.0,9037,75.88
West Bengal,Nadia,PM Ujjwala Yojana,2020,4040,2971,172.5,123.5,60,73.54
Telangana,Hyderabad,PM Awas Yojana (Gramin),2022,7560,4513,7817.9,4586.9,843,59.7
Karnataka,Mysuru,MGNREGA,2022,23030,19125,2023.0,1521.9,19152,83.04
West Bengal,Howrah,PM Ujjwala Yojana,2022,10390,7506,330.0,228.2,60,72.24
Punjab,Patiala,Jal Jeevan Mission,2022,15410,15410,3596.2,3596.2,2227,100.0
Uttar Pradesh,Lucknow,National Rural Livelihood Mission,2019,1910,1463,386.4,273.0,620,76.6
Bihar,Patna,Deendayal Antyodaya Yojana,2019,6730,4870,2098.6,1506.1,1509,72.36
Maharashtra,Aurangabad,Deendayal Antyodaya Yojana,2023,5480,3628,1500.2,934.4,1207,66.2
Telangana,Nizamabad,Skill India Mission (PMKVY),2021,1590,724,307.2,119.3,490,45.53
Bihar,Bhagalpur,MGNREGA,2020,17110,12634,1506.1,1050.8,12923,73.84
Gujarat,Ahmedabad,Ayushman Bharat - PMJAY,2021,26740,24804,2170.1,2090.4,77,92.76
Madhya Pradesh,Ujjain,Swachh Bharat Mission (Gramin),2021,6340,5812,827.6,719.5,320,91.67
Telangana,Karimnagar,Jal Jeevan Mission,2019,4060,2461,1205.7,659.8,507,60.62
Gujarat,Ahmedabad,MGNREGA,2019,9880,8980,896.9,760.7,7393,90.89
Jharkhand,Ranchi,National Rural Livelihood Mission,2020,7090,4213,1372.7,863.6,2470,59.42
Bihar,Gaya,PM Kisan Samman Nidhi,2020,36880,23128,1249.0,810.4,310,62.71
Assam,Dibrugarh,Jal Jeevan Mission,2020,16900,12075,2633.2,1831.9,2871,71.45
Rajasthan,Udaipur,Swachh Bharat Mission (Gramin),2020,3390,2445,365.6,237.7,208,72.12
Gujarat,Rajkot,Ayushman Bharat - PMJAY,2021,5900,5707,438.3,438.3,12,96.73
Tamil Nadu,Madurai,National Rural Livelihood Mission,2022,6470,6378,1345.4,1251.9,3386,98.58
Gujarat,Bhavnagar,Swachh Bharat Mission (Gramin),2021,10070,8415,1138.1,906.5,1026,83.57
Madhya Pradesh,Ujjain,Jal Jeevan Mission,2022,9340,6324,1579.3,1029.3,1275,67.71
Jharkhand,Dhanbad,Deendayal Antyodaya Yojana,2023,3660,3325,814.5,697.1,1502,90.85
Rajasthan,Kota,Skill India Mission (PMKVY),2022,2750,2451,673.1,610.5,1469,89.13
Telangana,Khammam,National Rural Livelihood Mission,2019,8200,8132,1125.5,1125.5,3366,99.17
